engine_id,cycle,sensor2,sensor3,sensor4,sensor6,sensor7,sensor8,sensor9,sensor11,sensor12,sensor13,sensor14,sensor15,sensor17,sensor20,sensor21
1,1,641.820,1589.700,1400.600,21.610,554.360,2388.060,9046.190,47.470,521.660,2388.020,8138.620,8.420,392.000,39.060,23.419
1,2,642.150,1591.820,1403.140,21.610,553.750,2388.040,9044.070,47.490,522.280,2388.070,8131.490,8.432,392.000,39.000,23.424
1,3,642.350,1587.990,1404.200,21.610,554.260,2388.080,9052.940,47.270,522.420,2388.030,8133.230,8.418,390.000,38.950,23.344
1,4,642.350,1582.790,1401.870,21.610,554.450,2388.110,9049.480,47.130,522.860,2388.080,8133.830,8.368,392.000,38.880,23.374
1,5,642.370,1582.850,1406.220,21.610,554.000,2388.060,9055.150,47.280,522.190,2388.040,8133.800,8.429,393.000,38.900,23.404
1,6,642.100,1584.470,1398.370,21.610,554.670,2388.020,9049.680,47.160,521.680,2388.030,8132.850,8.411,391.000,38.980,23.367
1,7,642.480,1592.320,1397.770,21.610,554.340,2388.020,9059.130,47.360,522.320,2388.030,8132.320,8.397,392.000,39.100,23.377
1,8,642.560,1582.960,1400.970,21.610,553.850,2388.000,9040.800,47.240,522.470,2388.030,8131.070,8.408,391.000,38.970,23.311
1,9,642.120,1590.980,1394.800,21.610,553.690,2388.050,9046.460,47.290,521.790,2388.050,8125.690,8.373,392.000,39.050,23.407
1,10,641.710,1591.240,1400.460,21.610,553.590,2388.050,9051.700,47.030,521.790,2388.060,8129.380,8.429,393.000,38.950,23.469
1,11,642.280,1581.750,1400.640,21.610,554.540,2388.050,9049.610,47.150,521.400,2388.010,8140.580,8.434,392.000,38.940,23.479
1,12,642.060,1583.410,1400.150,21.610,554.520,2388.090,9049.370,47.180,521.800,2388.020,8134.250,8.394,391.000,39.060,23.366
1,13,643.070,1582.190,1400.830,21.610,553.440,2388.120,9046.820,47.380,521.850,2388.080,8128.100,8.415,393.000,38.930,23.276
1,14,642.350,1592.950,1399.160,21.610,554.480,2388.090,9047.370,47.440,521.670,2388.000,8134.430,8.396,393.000,39.180,23.383
1,15,642.430,1583.820,1402.130,21.610,553.640,2388.110,9052.220,47.300,522.500,2388.080,8127.560,8.420,391.000,38.990,23.350
1,16,642.130,1587.980,1404.500,21.610,553.940,2388.050,9049.340,47.240,521.490,2388.070,8136.110,8.394,392.000,38.970,23.455
1,17,642.580,1584.960,1399.950,21.610,553.800,2388.060,9054.920,47.120,521.890,2388.040,8137.270,8.454,392.000,38.810,23.332
1,18,642.620,1591.040,1396.120,21.610,554.200,2388.050,9049.550,47.210,521.760,2388.070,8132.730,8.403,392.000,38.890,23.399
1,19,641.790,1587.560,1400.350,21.610,554.180,2388.040,9053.990,47.400,521.890,2388.030,8129.130,8.432,391.000,38.800,23.346
